feature,episode,length,reward
不处理,0,200.0,-200.0
不处理,1,200.0,-200.0
不处理,2,200.0,-200.0
不处理,3,200.0,-200.0
不处理,4,200.0,-200.0
不处理,5,200.0,-200.0
不处理,6,200.0,-200.0
不处理,7,200.0,-200.0
不处理,8,200.0,-200.0
不处理,9,200.0,-200.0
不处理,10,200.0,-200.0
不处理,11,200.0,-200.0
不处理,12,200.0,-200.0
不处理,13,200.0,-200.0
不处理,14,200.0,-200.0
不处理,15,200.0,-200.0
不处理,16,200.0,-200.0
不处理,17,200.0,-200.0
不处理,18,200.0,-200.0
不处理,19,200.0,-200.0
不处理,20,200.0,-200.0
不处理,21,200.0,-200.0
不处理,22,200.0,-200.0
不处理,23,200.0,-200.0
不处理,24,200.0,-200.0
不处理,25,200.0,-200.0
不处理,26,200.0,-200.0
不处理,27,200.0,-200.0
不处理,28,200.0,-200.0
不处理,29,200.0,-200.0
不处理,30,200.0,-200.0
不处理,31,200.0,-200.0
不处理,32,200.0,-200.0
不处理,33,200.0,-200.0
不处理,34,200.0,-200.0
不处理,35,200.0,-200.0
不处理,36,200.0,-200.0
不处理,37,200.0,-200.0
不处理,38,200.0,-200.0
不处理,39,200.0,-200.0
不处理,40,200.0,-200.0
不处理,41,200.0,-200.0
不处理,42,200.0,-200.0
不处理,43,200.0,-200.0
不处理,44,200.0,-200.0
不处理,45,200.0,-200.0
不处理,46,200.0,-200.0
不处理,47,200.0,-200.0
不处理,48,200.0,-200.0
不处理,49,200.0,-200.0
不处理,50,200.0,-200.0
不处理,51,200.0,-200.0
不处理,52,200.0,-200.0
不处理,53,200.0,-200.0
不处理,54,200.0,-200.0
不处理,55,200.0,-200.0
不处理,56,200.0,-200.0
不处理,57,200.0,-200.0
不处理,58,200.0,-200.0
不处理,59,200.0,-200.0
不处理,60,200.0,-200.0
不处理,61,200.0,-200.0
不处理,62,200.0,-200.0
不处理,63,200.0,-200.0
不处理,64,200.0,-200.0
不处理,65,200.0,-200.0
不处理,66,200.0,-200.0
不处理,67,200.0,-200.0
不处理,68,200.0,-200.0
不处理,69,200.0,-200.0
不处理,70,200.0,-200.0
不处理,71,200.0,-200.0
不处理,72,200.0,-200.0
不处理,73,200.0,-200.0
不处理,74,200.0,-200.0
不处理,75,200.0,-200.0
不处理,76,200.0,-200.0
不处理,77,200.0,-200.0
不处理,78,200.0,-200.0
不处理,79,200.0,-200.0
不处理,80,200.0,-200.0
不处理,81,200.0,-200.0
不处理,82,200.0,-200.0
不处理,83,200.0,-200.0
不处理,84,200.0,-200.0
不处理,85,200.0,-200.0
不处理,86,200.0,-200.0
不处理,87,200.0,-200.0
不处理,88,200.0,-200.0
不处理,89,200.0,-200.0
不处理,90,200.0,-200.0
不处理,91,200.0,-200.0
不处理,92,200.0,-200.0
不处理,93,200.0,-200.0
不处理,94,200.0,-200.0
不处理,95,200.0,-200.0
不处理,96,200.0,-200.0
不处理,97,200.0,-200.0
不处理,98,200.0,-200.0
不处理,99,200.0,-200.0
不处理,100,200.0,-200.0
不处理,101,200.0,-200.0
不处理,102,200.0,-200.0
不处理,103,200.0,-200.0
不处理,104,200.0,-200.0
不处理,105,200.0,-200.0
不处理,106,200.0,-200.0
不处理,107,200.0,-200.0
不处理,108,200.0,-200.0
不处理,109,200.0,-200.0
不处理,110,200.0,-200.0
不处理,111,200.0,-200.0
不处理,112,200.0,-200.0
不处理,113,200.0,-200.0
不处理,114,200.0,-200.0
不处理,115,200.0,-200.0
不处理,116,200.0,-200.0
不处理,117,200.0,-200.0
不处理,118,200.0,-200.0
不处理,119,200.0,-200.0
不处理,120,200.0,-200.0
不处理,121,200.0,-200.0
不处理,122,200.0,-200.0
不处理,123,200.0,-200.0
不处理,124,200.0,-200.0
不处理,125,200.0,-200.0
不处理,126,200.0,-200.0
不处理,127,200.0,-200.0
不处理,128,200.0,-200.0
不处理,129,200.0,-200.0
不处理,130,200.0,-200.0
不处理,131,200.0,-200.0
不处理,132,200.0,-200.0
不处理,133,200.0,-200.0
不处理,134,200.0,-200.0
不处理,135,200.0,-200.0
不处理,136,200.0,-200.0
不处理,137,200.0,-200.0
不处理,138,200.0,-200.0
不处理,139,200.0,-200.0
不处理,140,200.0,-200.0
不处理,141,200.0,-200.0
不处理,142,200.0,-200.0
不处理,143,200.0,-200.0
不处理,144,200.0,-200.0
不处理,145,200.0,-200.0
不处理,146,200.0,-200.0
不处理,147,200.0,-200.0
不处理,148,200.0,-200.0
不处理,149,200.0,-200.0
不处理,150,200.0,-200.0
不处理,151,200.0,-200.0
不处理,152,200.0,-200.0
不处理,153,200.0,-200.0
不处理,154,200.0,-200.0
不处理,155,200.0,-200.0
不处理,156,200.0,-200.0
不处理,157,200.0,-200.0
不处理,158,200.0,-200.0
不处理,159,200.0,-200.0
不处理,160,200.0,-200.0
不处理,161,200.0,-200.0
不处理,162,200.0,-200.0
不处理,163,200.0,-200.0
不处理,164,200.0,-200.0
不处理,165,200.0,-200.0
不处理,166,200.0,-200.0
不处理,167,200.0,-200.0
不处理,168,200.0,-200.0
不处理,169,200.0,-200.0
不处理,170,200.0,-200.0
不处理,171,200.0,-200.0
不处理,172,200.0,-200.0
不处理,173,200.0,-200.0
不处理,174,200.0,-200.0
不处理,175,200.0,-200.0
不处理,176,200.0,-200.0
不处理,177,200.0,-200.0
不处理,178,200.0,-200.0
不处理,179,200.0,-200.0
不处理,180,200.0,-200.0
不处理,181,200.0,-200.0
不处理,182,200.0,-200.0
不处理,183,200.0,-200.0
不处理,184,200.0,-200.0
不处理,185,200.0,-200.0
不处理,186,200.0,-200.0
不处理,187,200.0,-200.0
不处理,188,200.0,-200.0
不处理,189,200.0,-200.0
不处理,190,200.0,-200.0
不处理,191,200.0,-200.0
不处理,192,200.0,-200.0
不处理,193,200.0,-200.0
不处理,194,200.0,-200.0
不处理,195,200.0,-200.0
不处理,196,200.0,-200.0
不处理,197,200.0,-200.0
不处理,198,200.0,-200.0
不处理,199,200.0,-200.0
标准化,0,200.0,-200.0
标准化,1,200.0,-200.0
标准化,2,200.0,-200.0
标准化,3,200.0,-200.0
标准化,4,200.0,-200.0
标准化,5,200.0,-200.0
标准化,6,200.0,-200.0
标准化,7,200.0,-200.0
标准化,8,200.0,-200.0
标准化,9,200.0,-200.0
标准化,10,200.0,-200.0
标准化,11,200.0,-200.0
标准化,12,200.0,-200.0
标准化,13,200.0,-200.0
标准化,14,200.0,-200.0
标准化,15,200.0,-200.0
标准化,16,200.0,-200.0
标准化,17,200.0,-200.0
标准化,18,200.0,-200.0
标准化,19,200.0,-200.0
标准化,20,200.0,-200.0
标准化,21,200.0,-200.0
标准化,22,200.0,-200.0
标准化,23,200.0,-200.0
标准化,24,200.0,-200.0
标准化,25,200.0,-200.0
标准化,26,200.0,-200.0
标准化,27,200.0,-200.0
标准化,28,200.0,-200.0
标准化,29,200.0,-200.0
标准化,30,200.0,-200.0
标准化,31,200.0,-200.0
标准化,32,200.0,-200.0
标准化,33,200.0,-200.0
标准化,34,200.0,-200.0
标准化,35,200.0,-200.0
标准化,36,200.0,-200.0
标准化,37,200.0,-200.0
标准化,38,200.0,-200.0
标准化,39,200.0,-200.0
标准化,40,200.0,-200.0
标准化,41,200.0,-200.0
标准化,42,200.0,-200.0
标准化,43,200.0,-200.0
标准化,44,200.0,-200.0
标准化,45,200.0,-200.0
标准化,46,200.0,-200.0
标准化,47,200.0,-200.0
标准化,48,200.0,-200.0
标准化,49,200.0,-200.0
标准化,50,200.0,-200.0
标准化,51,200.0,-200.0
标准化,52,200.0,-200.0
标准化,53,200.0,-200.0
标准化,54,200.0,-200.0
标准化,55,200.0,-200.0
标准化,56,200.0,-200.0
标准化,57,200.0,-200.0
标准化,58,200.0,-200.0
标准化,59,200.0,-200.0
标准化,60,200.0,-200.0
